;stodisplaydesc;stoanabelkey;real;max_round;min_round;avg_round;max;min;avg
0;ABBEVILLE -CORDELIER;7826;10;14;11;12;13.98;10.82;12.5
1;AIRAINES;7639;10;12;10;11;11.87;10.31;11.07
2;AMBERIEU EN BUGEY;7469;11;14;11;13;14.41;10.94;12.79
3;ANNEMASSE -FLORISSAN;8340;7;11;9;10;11.18;8.93;9.99
4;ANNOEULLIN;7629;10;13;10;12;13.41;9.83;11.69
5;ANZIN -VALMONT;7607;6;8;6;7;8.17;5.93;7.17
6;ARGELES GAZOST;7613;11;17;13;15;16.69;13.13;14.76
7;ARGENTON S/CREUSE;7655;8;10;8;9;9.96;7.63;8.84
8;AUBIGNY EN ARTOIS;7941;7;10;8;9;9.68;8.07;8.93
9;AUBIGNY S/NERE;7618;12;9;8;8;8.96;7.61;8.33
10;AUBUSSON;7656;11;10;8;9;10.29;8.22;9.24
11;AUCHEL -ALLOUAGNE;7942;10;14;9;10;13.7;8.55;10.4
12;AUDRUICQ;7943;8;14;10;12;13.64;10.27;12.1
13;AURAY -DE GAULLE;8076;5;6;4;5;5.75;4.34;4.97
14;AUTERIVE MIDI;8938;16;16;12;14;15.86;12.4;14.18
15;AUXERRE;7657;10;11;9;10;10.81;9.05;9.94
16;AVESNES S/H -LANDREC;7829;7;11;8;9;10.58;7.68;9.33
17;AVION;7830;6;8;7;8;8.22;6.57;7.52
18;AVON -ROOSEVELT;7831;14;16;11;14;15.52;11.24;13.65
19;AYTRE;8427;9;12;8;10;11.62;8.23;10.11
20;BAGNOLS S/CEZE -NIME;7612;14;15;12;14;15.04;11.76;13.53
21;BAILLY EN ROMAINVILL;7768;7;8;5;7;7.82;5.29;6.81
22;BAYONNE -MARRACQ;8455;7;9;7;8;9.35;6.78;8.13
23;BEAUMONT;7658;5;8;6;7;7.96;5.89;7.01
24;BEAUZELLE;7591;8;12;10;11;12.04;9.72;10.95
25;BELLAC 2;7619;10;11;8;9;10.94;7.93;9.48
26;BELLEVILLE (69);8010;14;16;12;14;15.95;11.73;13.99
27;BERCK -SOUBITEZ;7835;6;10;7;8;9.67;6.92;8.18
28;BOIS GUILLAUME -BOCQ;8112;10;14;10;12;13.54;10.22;11.82
29;BOIS GUILLAUME -MAIR;8113;6;9;7;8;8.92;7.17;8.12
30;BONDUES -RN;7971;12;13;11;12;13.38;10.55;11.82
31;BONNEVAL -LOUVETERIE;3277;9;10;8;9;9.79;8.0;8.87
32;BONNEVILLE -BORDETS;8180;15;18;14;16;17.75;13.86;16.21
33;BORDEAUX -BASTIDE;7616;8;10;7;9;10.49;6.88;8.71
34;BOSC LE HARD;7520;9;11;9;10;11.08;9.01;10.04
35;BOUCHAIN;7737;8;10;8;9;10.43;7.64;9.35
36;BOURBOURG;7975;4;6;4;5;5.64;3.83;4.64
37;BOURGANEUF;7662;10;9;8;9;9.27;7.73;8.51
38;BOUSSAC -BOURBONNAIS;7666;7;8;6;7;7.69;6.41;7.01
39;BRESSUIRE -EUROPE;7841;8;12;10;11;12.25;9.56;11.07
40;BREUILLET -ST CHERON;7772;12;13;10;11;12.7;10.13;11.4
41;BUCHY;7649;8;11;9;10;11.4;8.65;10.14
42;BULLY LES MINES;7951;6;7;5;6;7.18;5.28;6.14
43;BUSSY ST G -MARTEL;7623;10;12;9;11;12.44;9.41;11.16
44;CANNES LA BOCCA;8627;12;14;10;12;14.18;10.19;12.17
45;CANY BARVILLE;7515;7;10;8;9;10.14;7.8;9.1
46;CHARLEVAL;7571;8;9;8;8;9.16;7.66;8.36
47;CHARTRES DE BRETAGNE;8081;10;14;10;12;13.94;10.14;12.18
48;CHATILLON -G.PERI;7848;12;11;7;9;11.42;7.11;9.26
49;CLAIX;8017;7;10;8;9;9.51;7.76;8.74
50;CLERMONT FD -JAUDE;7631;12;13;9;12;13.3;9.29;11.7
51;COLOMIERS -ORMEAU;7720;9;11;9;10;11.42;8.61;10.35
52;COMINES -TANNERIE;7724;10;11;9;10;11.03;9.35;10.23
53;CONDRIEU;8019;8;12;10;11;11.83;9.51;10.67
54;COSNE COURS S/L -RN7;7677;12;15;12;13;14.5;11.86;13.4
55;COSNE D'ALLIER;7676;8;8;7;8;8.18;6.85;7.55
56;COUPVRAY;7776;15;15;11;13;14.58;11.19;12.81
57;DAVEZIEUX;7709;10;12;10;11;12.08;9.52;10.88
58;DESVRES -BOULOGNE;7977;9;11;9;10;11.37;8.73;10.11
59;DINARD -ST ALEXANDRE;7518;6;9;6;8;9.06;6.32;7.72
60;DORMANS -CHAVENAY;7856;7;11;9;10;10.52;8.84;9.77
61;EPERLECQUES;7952;7;11;8;10;11.0;8.4;9.73
62;EPINAY S/ORGE;7777;20;22;15;18;21.51;14.82;18.18
63;EPOUVILLE;8124;12;12;10;11;11.93;9.9;10.81
64;ERGUE GABERIC;8085;10;12;9;10;12.11;8.93;10.5
65;ESSARS;7953;10;11;8;9;10.68;8.22;9.5
66;ETAPLES -BOULOGNE;7979;8;8;7;8;8.41;6.79;7.62
67;FERRIERE LA GRANDE;7859;11;11;9;10;11.29;9.26;10.29
68;FRAIZE;8584;6;8;7;7;8.09;6.71;7.41
69;FRUGES -3 MOULINS;7980;10;12;10;11;12.1;10.01;11.05
70;GEVEZE;7439;10;9;7;8;9.35;7.28;8.18
71;GUERANDE;8089;14;17;13;15;16.55;13.11;15.06
72;GUIGNES;7617;10;14;11;12;13.78;10.72;12.48
73;GUINES;7620;9;11;9;10;10.82;8.75;9.81
74;HAILLICOURT;7981;8;8;6;7;7.9;5.94;6.97
75;HAM;7785;8;9;8;9;9.31;7.81;8.55
76;HEM;7982;10;10;9;9;10.09;8.58;9.35
77;HESDIN;7863;9;14;11;13;14.1;11.45;13.12
78;IRIGNY;8025;10;11;8;10;11.45;8.1;10.05
79;JASSANS RIOTTIER;8026;7;11;8;9;10.55;7.94;9.37
80;JEUMONT;7786;7;8;6;7;8.09;6.38;7.17
81;JONAGE;8027;9;12;5;11;11.93;5.18;10.99
82;JOUY LE MOUTIER;7787;6;11;8;10;10.81;8.2;9.67
83;JUSSEY;8308;6;7;5;6;6.61;5.42;6.06
84;LA FLECHE -MOLANS;7609;8;11;8;10;11.24;8.36;9.91
85;LAGNIEU;8028;11;13;10;12;13.47;10.37;12.11
86;LAMORLAYE;7865;15;16;12;14;15.98;12.43;14.37
87;LAMOTTE BEUVRON;7688;8;10;7;9;10.11;7.18;8.93
88;LANDRECIES;7788;8;8;6;7;7.83;6.33;7.13
89;LANNEMEZAN;8547;11;13;10;12;13.27;9.97;11.67
90;LAPALISSE;7689;9;8;7;8;8.46;6.7;7.58
91;LE CRES -JACOU;7996;8;13;10;11;12.94;9.61;11.03
92;LE HAVRE -SANVIC;7862;11;10;7;9;9.99;6.55;8.72
93;LE HAVRE -VALLEE;7531;8;13;10;12;13.42;9.73;11.79
94;LE MANS -MAILLETS;8137;9;12;8;10;11.54;8.31;10.17
95;LE MESNIL ESNARD;8143;13;15;11;13;14.99;11.4;13.31
96;LE PONTEL;7902;8;11;9;10;10.83;8.88;9.78
97;LE PRE ST GERVAIS;7903;18;15;10;12;14.5;9.52;12.38
98;LE PT QUEVILLY -JAUR;8153;7;8;6;7;8.08;5.79;7.1
99;LENS -ZOLA;7959;4;6;5;5;6.24;4.79;5.38
100;LEON;8610;13;11;9;10;10.67;8.59;9.53
101;LES ANDELYS;7546;5;10;8;9;10.19;8.2;9.33
102;LEZOUX;7690;11;13;11;12;12.97;10.75;11.72
103;LIGNY EN BARROIS;7822;10;9;8;9;9.28;7.81;8.56
104;LILLE -GAMBETTA;7960;11;15;10;13;14.5;10.22;12.71
105;LILLE -LA MADELEINE;7961;13;12;9;11;12.43;9.05;11.23
106;LILLERS -DEKEISER;7868;8;14;10;12;14.26;10.29;12.18
107;LISLET;7797;6;6;5;6;6.29;5.03;5.74
108;LOUHANS;8031;10;10;8;10;10.34;8.28;9.58
109;LUZARCHES;7792;9;12;10;11;12.08;9.96;11.04
110;MANOM;7875;11;15;12;14;14.65;12.3;13.69
111;MARLY LE ROI -TERRES;7794;16;12;9;11;12.36;8.97;10.72
112;MELUN -GAILLARDON;7761;10;10;8;9;10.46;8.18;9.1
113;MERCIN ET VAUX;7614;12;13;10;12;12.73;10.17;11.54
114;MEXIMIEUX;8032;17;16;12;14;15.79;11.92;13.96
115;MEYZIEU;8033;9;14;10;12;13.65;10.3;12.21
116;MEZE;7998;8;11;9;10;10.54;8.63;9.55
117;MEZIERES S/SEINE;7588;10;12;10;11;11.66;10.05;10.89
118;MIRECOURT;7880;10;11;9;10;11.0;9.37;10.22
119;MIRIBEL;8034;6;10;8;9;10.07;7.54;9.03
120;MONTPELLIER -JUSTICE;8000;9;12;8;10;12.02;8.06;10.41
121;MONTREUIL -C DE VILL;8980;9;13;8;10;13.4;7.95;10.37
122;MONTROND LES BAINS;8040;8;10;8;9;10.2;8.41;9.3
123;MORANGIS;7881;13;16;12;14;16.35;11.79;14.37
124;MOREUIL;8182;10;11;9;10;11.18;9.35;10.39
125;MORTAIN;8093;7;8;7;7;7.81;6.5;7.22
126;MULSANNE;8146;7;11;8;10;10.76;8.04;9.58
127;NANGIS;7883;10;12;10;11;12.43;9.99;11.17
128;NANTEUIL LES M -FOUL;8669;18;19;15;17;19.21;14.81;16.99
129;PAVILLY;7894;10;10;9;9;10.14;8.54;9.34
130;PERIERS -CARENTAN;8074;10;9;7;8;8.69;6.72;7.61
131;PERTUIS;7634;18;20;15;18;19.92;14.88;17.55
132;PEYREHORADE -BAYONNE;8462;10;11;8;9;10.85;7.8;9.36
133;PIBRAC;7732;10;13;10;12;13.45;10.38;12.02
134;PIERRELATTE;7895;11;12;10;11;12.34;10.45;11.48
